id;fk;creator;created;last_editor;last_edited;area;perimeter;length;latitude;longitude;geom;label;type;source;remarks
1;0;7;2015-10-15 14:03:40.91132+02;;;0;0;0;16.7719091;-3.0087272;0101000020E61000006AAFF490DF1108C01BFCB3D59BC53040;Tombouctou;City outside greater Bamako;OSM;
2;0;7;2015-10-15 14:03:40.91132+02;;;0;0;0;16.2788129;-0.0412392;0101000020E61000002B5CA0EE4D1DA5BFF2333F4860473040;Gao;City outside greater Bamako;OSM;
3;0;7;2015-10-15 14:03:40.91132+02;;;0;0;0;11.3164979;-5.6777499;0101000020E61000001678DD1104B616C05F8143030CA22640;Sikasso;City outside greater Bamako;OSM;
4;0;7;2015-10-15 14:03:40.91132+02;;;0;0;0;14.4434063;-11.4379135;0101000020E61000002CF4C13236E026C044AE8A2606E32C40;Kayes;City outside greater Bamako;OSM;
5;0;7;2015-10-15 14:03:40.91132+02;;;0;0;0;12.3871964;-5.4599797;0101000020E6100000AA4B21EB04D715C00442469B3EC62840;Koutiala (in Koutiala, Koutiala);City outside greater Bamako;OSM;
6;0;7;2015-10-15 14:03:40.91132+02;;;0;0;0;13.6858601;-6.0686133;0101000020E610000055489E90424618C03843160E295F2B40;Markala;Town outside greater Bamako;OSM;
7;0;7;2015-10-15 14:03:40.91132+02;;;0;0;0;13.5773263;-8.0312734;0101000020E61000002E782C11031020C0CA3D135097272B40;Kolokani;Town outside greater Bamako;OSM;
8;0;7;2015-10-15 14:03:40.91132+02;;;0;0;0;12.8646318;-7.5561287;0101000020E6100000CE774BCD79391EC0C929F004B1BA2940;Koulikoro;City outside greater Bamako;OSM;
9;0;7;2015-10-15 14:03:40.91132+02;;;0;0;0;13.8088835;-10.8342049;0101000020E61000006E5397E71CAB25C04C8C65FA259E2B40;Bafoulabé;Town outside greater Bamako;OSM;
10;0;7;2015-10-15 14:03:40.91132+02;;;0;0;0;13.7605592;-10.8481877;0101000020E61000002ABD80A845B225C00658F50368852B40;Mahina;Town outside greater Bamako;OSM;
11;0;7;2015-10-15 14:03:40.91132+02;;;0;0;0;13.2052208;-10.4561307;0101000020E610000036678EF689E924C0FCEA60B312692A40;Manantaly;Town outside greater Bamako;OSM;old name was Soukoutali
