id;fk;creator;created;last_editor;last_edited;area;perimeter;length;latitude;longitude;geom;fclass_osm;label;source;type;remarks
10;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.2484436;10.5058304;0101000020E61000002CA5C233FC0225401E9AC3FF67FE1840;village;Oku;OSM;Settlement;
11;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;7.033333;10.583333;0101000020E6100000EA5A7B9FAA2A2540A182C30B22221C40;village;Jato;OSM;Settlement;
12;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.533333;11.1;0101000020E61000003333333333332640A182C30B22221A40;village;Warkaka;OSM;Settlement;
13;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.7055;9.7564;0101000020E610000088635DDC46832340DF4F8D976ED21A40;village;Matazu;OSM;Settlement;
14;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.966667;10.783333;0101000020E610000051C1E105119125405F7D3CF4DDDD1B40;village;Abong Yeri;OSM;Settlement;
15;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;7.033333;10.583333;0101000020E6100000EA5A7B9FAA2A2540A182C30B22221C40;village;Gidan Jato;OSM;Settlement;
16;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;7.066667;10.583333;0101000020E6100000EA5A7B9FAA2A2540C5E3A25A44441C40;village;Gidan Boro;OSM;Settlement;
17;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;7.066667;10.583333;0101000020E6100000EA5A7B9FAA2A2540C5E3A25A44441C40;village;Boro;OSM;Settlement;
18;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;7.133333;10.6;0101000020E6100000333333333333254008E9297288881C40;village;Audu;OSM;Settlement;
19;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.796164;10.162518;0101000020E6100000CD052E8F355324409B02999D452F1740;village;Santa;OSM;Settlement;
20;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.837607;9.889249;0101000020E61000005C001AA54BC723404A9A3FA6B5591740;village;Batibo;OSM;Settlement;
21;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.424937;10.793949;0101000020E61000004162BB7B80962540007157AF22B31940;village;Ndu;OSM;Settlement;
22;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9789635;10.4024077;0101000020E61000003151CE6108CE244029E9616875EA1740;locality;Bamali Junction;OSM;Settlement;
23;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.585618;10.54934;0101000020E6100000F0C4AC1743192540B4CBB73EAC571A40;village;Misaje;OSM;Settlement;
