id;type;source;label;remarks;geom;fk;creator;created;last_editor;last_edited;area;perimeter;length;latitude;longitude
637;City abroad;Hanna;Abidjan (Côte d'Ivoire);;0101000020E6100000C227506DBE1310C0C29256D513351540;0;7;2014-07-17 14:24:19.912231+02;;;0;0;0;5.30183347073461;-4.01928110887269
648;City abroad;Hanna;Tamale (Ghana);;0101000020E6100000B03A816AF311ECBF1CEAE1A866D62240;0;7;2014-07-18 13:22:06.81303+02;;;0;0;0;9.41875198133226;-0.877191265122596
290;cities and towns outside Greater Ouagadougou;OSM;Léo;;0101000020E610000084EE0B3539D600C0566FBA9474322640;;;2014-05-21 13:49:47.74048+02;7;2014-07-17 14:31:47.07279+02;0;0;0;11.0985456922132;-2.1046013016001
649;City abroad;Hanna;Accra (Ghana);;0101000020E610000087EC04AACDAFC7BF1361860A46141640;0;7;2014-07-18 13:22:26.55309+02;;;0;0;0;5.5197984356421;-0.185052593247608
632;Foreign country;Hanna;Ghana;;0101000020E61000000F683CCD2963EDBF8E20FD726AE02140;0;7;2014-05-22 08:47:01.793873+02;;;0;0;0;8.93831214275295;-0.918354893542757
638;cities and towns outside Greater Ouagadougou;Hanna;Saponé;openstreetmap;0101000020E6100000969B40B55EA7F9BFC0D22258E7192840;0;7;2014-07-17 14:39:33.104328+02;;;0;0;0;12.050593141795;-1.60336180497845
633;Foreign country;Hanna;Togo;;0101000020E6100000F2CB616149DBF03F1CF0EF6A71792140;0;7;2014-05-22 08:48:13.793654+02;;;0;0;0;8.73719343356066;1.05353677787639
639;cities and towns outside Greater Ouagadougou;Hanna;Ouagadougou (not specified);;0101000020E61000006C9F40B59166F8BFD95B875F9ABC2840;0;7;2014-07-17 14:41:12.404149+02;;;0;0;0;12.3683652737363;-1.52504130174381
651;Foreign country;Hanna;Nigeria;;0101000020E6100000D624841E9D201840325BAA63DB8B2440;0;7;2014-07-18 13:23:56.336173+02;;;0;0;0;10.2731581826643;6.03184936219733
640;Market in Ouaga;Hanna;Marché Central (Rood-woko);;0101000020E6100000F09B40F55661F8BF3D408E636ABC2840;0;7;2014-07-17 15:09:19.640953+02;;;0;0;0;12.3679991828104;-1.52376457025252
652;City abroad;Hanna;Lomé (Togo);;0101000020E610000051FB67623D5AF33FEB9E43579C761840;0;7;2014-07-18 13:25:10.673289+02;;;0;0;0;6.11583076811051;1.20953119697488
635;Foreign country;Hanna;Côte d'Ivoire;;0101000020E61000008E8DA767223814C0B053E49E81842040;0;7;2014-05-22 08:49:36.500962+02;;;0;0;0;8.25880142724222;-5.0548187442795
641;cities and towns outside Greater Ouagadougou;Hanna;Ipelcé;openstreetmap;0101000020E6100000DB9E40B5CFBEF8BF87609E1A28EA2740;0;7;2014-07-17 15:20:08.212471+02;;;0;0;0;11.9573372190791;-1.54658480455139
636;Foreign country;Hanna;Mali;;0101000020E6100000E81B4FFBFA210CC0AF57294C5EF72F40;0;7;2014-05-22 08:50:07.709213+02;;;0;0;0;15.9831413078753;-3.51659199080631
642;Arrondissement in Ouagadougou;Hanna;Boulmiougou;Estimation according to google search;0101000020E6100000F39F40B5EF61F9BF61B1CC332FB12840;0;7;2014-07-17 15:53:17.185147+02;;;0;0;0;12.3460632502908;-1.58641024400458
146;Locations within Greater Ouagadougou;WASCAL;Pabré;;0101000020E61000009AE2B4148669F9BF8166BEEFA1092940;;;2014-05-21 13:49:47.74048+02;7;2014-06-17 15:39:07.74259+02;0;0;0;12.5188136024401;-1.58826263512143
643;cities and towns outside Greater Ouagadougou;Hanna;Kombissiri;openstreetmap;0101000020E610000006A040B59169F5BF12CFB82997222840;0;7;2014-07-17 15:55:07.172558+02;;;0;0;0;12.067559531984;-1.33827372361884
285;cities and towns outside Greater Ouagadougou;OSM;Pô;;0101000020E6100000C83854699959F2BF8F39FC652D562640;;;2014-05-21 13:49:47.74048+02;7;2014-06-17 15:49:57.272321+02;0;0;0;11.1683151121513;-1.14687482017648
189;Locations within Greater Ouagadougou;WASCAL;Tanghin-Dassouri;;0101000020E6100000429FB0312B77FBBF10520354C88B2840;;;2014-05-21 13:49:47.74048+02;7;2014-07-18 13:08:12.990287+02;0;0;0;12.2730127576879;-1.71659392748002
644;cities and towns outside Greater Ouagadougou;Hanna;Ira;openstreetmap;0101000020E61000000E28506D982A10C066B804BC73812A40;0;7;2014-07-18 13:17:42.267095+02;;;0;0;0;13.2528361087572;-4.04159708787667
645;City abroad;Hanna;Niamey (Niger);;0101000020E610000063B15F2583E300403AE73FAB3E0A2B40;0;7;2014-07-18 13:21:05.026664+02;;;0;0;0;13.5200093760974;2.11108998487741
646;Foreign country;Hanna;Benin;;0101000020E610000085B15F2503DB0140E19E8537D92F2240;0;7;2014-07-18 13:21:22.803222+02;;;0;0;0;9.0934541082965;2.23193959425243
634;Foreign country;Hanna;Niger;;0101000020E61000008FE5B054F17D0640021F2F9DBF4C2B40;0;7;2014-05-22 08:48:43.399202+02;1;2014-08-29 15:26:34.449334+02;0;0;0;13.6498993988057;2.81149545826765
650;City abroad;Hanna;Bamako (Mali);;0101000020E61000001A28506DFEF01FC0BDADC524754E2940;0;7;2014-07-18 13:23:08.803999+02;1;2014-08-29 15:29:44.472234+02;0;0;0;12.6532374850566;-7.98534556199777
28;Locations within Greater Ouagadougou;WASCAL;Lougbisse;;0101000020E610000069A902575370FABFB55BE70756722840;;;2014-05-21 13:49:47.74048+02;;;;;;;
29;Locations within Greater Ouagadougou;WASCAL;Bagtogdo;;0101000020E61000007B1F851BB220F9BF728743AB576E2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
30;Locations within Greater Ouagadougou;WASCAL;Bangma;;0101000020E61000004EFDA8D9370CFABFCAE72B0156522840;;;2014-05-21 13:49:47.74048+02;;;;;;;
31;Locations within Greater Ouagadougou;WASCAL;Bassemyam;;0101000020E61000008911B1E3AAA4F8BFF838E62B0F6F2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
9;Quartier of Ouagadougou;WASCAL;Kologho-naba (Ouaga);;0101000020E6100000C3A13E56F2B4F8BF26B02AA585C42840;;;2014-05-21 13:49:47.74048+02;7;2014-11-06 10:14:31.173799+01;0;0;0;12.3838321318254;-1.54417642297095
11;Quartier of Ouagadougou;WASCAL;Zogona (Ouaga);;0101000020E6100000B130338FBAD5F7BFE29C4EA2BBC32840;;;2014-05-21 13:49:47.74048+02;7;2014-11-06 10:25:53.558388+01;0;0;0;12.3822909089053;-1.48967987000928
12;Quartier of Ouagadougou;WASCAL;Kalgondin (Ouaga);;0101000020E610000074062278F700F8BF2BCEAE7800B72840;;;2014-05-21 13:49:47.74048+02;7;2014-11-06 11:20:41.828527+01;0;0;0;12.3574254716287;-1.50023600508612
14;Quartier of Ouagadougou;WASCAL;Cissin (Ouaga);;0101000020E610000097B5B191EB7CF8BFEFB279C592A52840;;;2014-05-21 13:49:47.74048+02;7;2014-11-06 11:21:35.547374+01;0;0;0;12.3233854018267;-1.53049809371746
16;Quartier of Ouagadougou;WASCAL;Nonsin (Ouaga);;0101000020E6100000B75B6AEE10FDF8BF625AE85DE5C02840;;;2014-05-21 13:49:47.74048+02;7;2014-11-06 11:22:38.971812+01;0;0;0;12.3767499300131;-1.56178372508087
18;Quartier of Ouagadougou;WASCAL;Kilwin (Ouaga);;0101000020E6100000860EEBDB7843F9BFD52C0DD425C92840;;;2014-05-21 13:49:47.74048+02;7;2014-11-06 11:26:55.814501+01;0;0;0;12.3928667322238;-1.57897268205207
19;Quartier of Ouagadougou;WASCAL;Tanghin (Ouaga);;0101000020E61000007B2E002D9574F8BFE4C66BD3EDCC2840;;;2014-05-21 13:49:47.74048+02;7;2014-11-06 11:27:20.931988+01;0;0;0;12.4002519673408;-1.52846257761385
21;Quartier of Ouagadougou;WASCAL;Wayalguin (Ouaga);;0101000020E61000004C854F9C3971F7BFB8485A2E24CD2840;;;2014-05-21 13:49:47.74048+02;7;2014-11-06 11:28:07.337351+01;0;0;0;12.4006666646204;-1.4651428323635
23;Quartier of Ouagadougou;WASCAL;Wemtenga (Ouaga);;0101000020E6100000F64CBC35DCC4F7BF700E613ACBBD2840;;;2014-05-21 13:49:47.74048+02;7;2014-11-06 11:32:13.496324+01;0;0;0;12.3706911319234;-1.48556157103013
25;Quartier of Ouagadougou;WASCAL;Sanyiri (Ouaga);;0101000020E6100000407C96455CAFF7BF245DAFA5F2AB2840;;;2014-05-21 13:49:47.74048+02;7;2014-11-06 11:33:01.834911+01;0;0;0;12.3358356262748;-1.48031260664699
8;Quartier of Ouagadougou;WASCAL;Hamdalaye (Ouaga);;0101000020E6100000F07605C759C1F8BFCA61DBA7FEBE2840;;;2014-05-21 13:49:47.74048+02;7;2014-11-06 11:35:49.480513+01;0;0;0;12.3730366187382;-1.54720475905145
5;Quartier of Ouagadougou;WASCAL;Samandin (Ouaga);;0101000020E6100000C2C93C90668DF8BFE49D9CED60B42840;;;2014-05-21 13:49:47.74048+02;7;2014-11-06 11:36:34.482703+01;0;0;0;12.352302003258;-1.53452164023166
2;Quartier of Ouagadougou;WASCAL;Bilbalogho (Ouaga);;0101000020E61000006F4AFD3C737BF8BF529378491EB92840;;;2014-05-21 13:49:47.74048+02;7;2014-11-06 11:37:22.633179+01;0;0;0;12.3615591964423;-1.53013919662467
3;Quartier of Ouagadougou;WASCAL;Paspanga (Ouaga);;0101000020E61000003AA4DED98767F8BF517BC201BAC12840;;;2014-05-21 13:49:47.74048+02;7;2014-11-06 11:37:43.807242+01;0;0;0;12.3783722448258;-1.52527604203557
654;Arrondissement in Ouagadougou;Hanna;Baskuy (Ouaga);location to be corrected;0101000020E61000006007982DE85AF8BF5EB2BFA704B82840;0;7;2014-07-31 13:45:24.932146+02;7;2014-11-06 14:06:04.657583+01;0;0;0;12.3594105168824;-1.52219407854178
32;Locations within Greater Ouagadougou;WASCAL;Dawanegomd;;0101000020E6100000B963DD2CC0EFF9BF33016573245B2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
33;Locations within Greater Ouagadougou;WASCAL;Dayoubsi;;0101000020E6100000D395E3214CBAF9BF82E2C4A7457A2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
34;Locations within Greater Ouagadougou;WASCAL;Garghin;;0101000020E61000003AB36DA0FC5CF8BF4BB3C79B3A852840;;;2014-05-21 13:49:47.74048+02;;;;;;;
35;Locations within Greater Ouagadougou;WASCAL;Goby;;0101000020E61000004FE762606068F9BF4501DD1383642840;;;2014-05-21 13:49:47.74048+02;;;;;;;
36;Locations within Greater Ouagadougou;WASCAL;Gogho;;0101000020E610000093B4EC68E911FABF9E73349DDD772840;;;2014-05-21 13:49:47.74048+02;;;;;;;
37;Locations within Greater Ouagadougou;WASCAL;Goumsi;;0101000020E610000026E2ACDA152CFABF20F7ED74584C2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
38;Locations within Greater Ouagadougou;WASCAL;Kagtoudin;;0101000020E61000001EA26054DB7CF9BF6F6C6DE28A812840;;;2014-05-21 13:49:47.74048+02;;;;;;;
39;Locations within Greater Ouagadougou;WASCAL;Kalzi;;0101000020E61000007D25566E6E37FABF36B64DED4A3D2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
40;Locations within Greater Ouagadougou;WASCAL;Kamsaotinga;;0101000020E610000016E4D802F93BF8BFBF8F6BB48B7F2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
42;Locations within Greater Ouagadougou;WASCAL;Kieryaoghin;;0101000020E61000009401FB27AE62F8BF60028C4C25792840;;;2014-05-21 13:49:47.74048+02;;;;;;;
43;Locations within Greater Ouagadougou;WASCAL;Kogononghin;;0101000020E610000053E1C9B7B57BF9BFEE7D359375752840;;;2014-05-21 13:49:47.74048+02;;;;;;;
44;Locations within Greater Ouagadougou;WASCAL;Komsilga;;0101000020E610000050872CCCA130FABF09CDF32BD45E2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
45;Locations within Greater Ouagadougou;WASCAL;Nabitenga;;0101000020E6100000F761CE224CBAF9BFE2D68FE11B802840;;;2014-05-21 13:49:47.74048+02;;;;;;;
46;Locations within Greater Ouagadougou;WASCAL;Pammonghin;;0101000020E61000006CB0FE5BA4EEF8BFCFFBA2DF0B572840;;;2014-05-21 13:49:47.74048+02;;;;;;;
47;Locations within Greater Ouagadougou;WASCAL;Ponsomtinga;;0101000020E6100000BF40AFDC54CBF7BF37D14EF2E27A2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
48;Locations within Greater Ouagadougou;WASCAL;Sabtoana;;0101000020E61000009419BD7869DCF7BFE49743AA237D2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
49;Locations within Greater Ouagadougou;WASCAL;Saonr;;0101000020E6100000B2FAB140AB41F9BF9B9ADE28168E2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
50;Locations within Greater Ouagadougou;WASCAL;Silmissin;;0101000020E610000070982933E295F9BF6678CD6D19862840;;;2014-05-21 13:49:47.74048+02;;;;;;;
51;Locations within Greater Ouagadougou;WASCAL;Singdin;;0101000020E61000008C359D706EFDF9BF7E9ACC53D3402840;;;2014-05-21 13:49:47.74048+02;;;;;;;
52;Locations within Greater Ouagadougou;WASCAL;Talfeoumega;;0101000020E61000008B7B549E7416F9BF1E96DB18C9492840;;;2014-05-21 13:49:47.74048+02;;;;;;;
53;Locations within Greater Ouagadougou;WASCAL;Tampouy;;0101000020E61000009E5B9BEC23FBFABFD1A8E59B01402840;;;2014-05-21 13:49:47.74048+02;;;;;;;
54;Locations within Greater Ouagadougou;WASCAL;Tang-Sega;;0101000020E61000000632B6F39A17FABF75E0B18F63812840;;;2014-05-21 13:49:47.74048+02;;;;;;;
55;Locations within Greater Ouagadougou;WASCAL;Tansega;;0101000020E610000009EF1A6BE58DF9BF7540508F87492840;;;2014-05-21 13:49:47.74048+02;;;;;;;
56;Locations within Greater Ouagadougou;WASCAL;Tiguidalgu;;0101000020E6100000BAB6049AABA4F9BFA7631DD4A1892840;;;2014-05-21 13:49:47.74048+02;;;;;;;
57;Locations within Greater Ouagadougou;WASCAL;Tingandogo;;0101000020E6100000A66C9B5B1B7FF8BF14D96E4089852840;;;2014-05-21 13:49:47.74048+02;;;;;;;
58;Locations within Greater Ouagadougou;WASCAL;Toeghin;;0101000020E61000004D83094FED09FBBF21EB44BEA1292840;;;2014-05-21 13:49:47.74048+02;;;;;;;
59;Locations within Greater Ouagadougou;WASCAL;Toeghin-Peulh;;0101000020E61000009DF519B88348FBBFCE86D53460292840;;;2014-05-21 13:49:47.74048+02;;;;;;;
60;Locations within Greater Ouagadougou;WASCAL;Vaagogho;;0101000020E6100000A32369B6B57BF9BF70D8B2CE7F6C2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
61;Locations within Greater Ouagadougou;WASCAL;Zinguedesse;;0101000020E6100000AE6B89510E4DF9BFFC369F3521832840;;;2014-05-21 13:49:47.74048+02;;;;;;;
62;Locations within Greater Ouagadougou;WASCAL;Zomnogho;;0101000020E61000009074ECC28FDDF8BF5064FAF138692840;;;2014-05-21 13:49:47.74048+02;;;;;;;
63;Locations within Greater Ouagadougou;WASCAL;Bousma;;0101000020E6100000A2AAF592D4BEF4BFD810E8F338692840;;;2014-05-21 13:49:47.74048+02;;;;;;;
64;Locations within Greater Ouagadougou;WASCAL;Didri;;0101000020E6100000CAA8084B590DF4BF3E77CA7381682840;;;2014-05-21 13:49:47.74048+02;;;;;;;
65;Locations within Greater Ouagadougou;WASCAL;Goghin;;0101000020E61000001B9E98FA5947F5BF5EF33077025E2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
66;Locations within Greater Ouagadougou;WASCAL;Gomtoaga;;0101000020E61000008F9A7C76ED64F6BF75AD3C0668462840;;;2014-05-21 13:49:47.74048+02;;;;;;;
67;Locations within Greater Ouagadougou;WASCAL;Guiguemtenga;;0101000020E61000006C5FB684542EF7BFAC04F7586B7E2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
68;Locations within Greater Ouagadougou;WASCAL;Kouba;;0101000020E610000086171AB7C110F7BFBB2C3C6754762840;;;2014-05-21 13:49:47.74048+02;;;;;;;
69;Locations within Greater Ouagadougou;WASCAL;Koubri;;0101000020E6100000BCD5F59EB37BF6BF7855C067AA642840;;;2014-05-21 13:49:47.74048+02;;;;;;;
70;Locations within Greater Ouagadougou;WASCAL;Kuiti;;0101000020E6100000712E5ABDDF32F6BF6B6D87A501602840;;;2014-05-21 13:49:47.74048+02;;;;;;;
72;Locations within Greater Ouagadougou;WASCAL;Moinc;;0101000020E61000007DDA71BB2F4EF3BFE3C279755F6B2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
73;Locations within Greater Ouagadougou;WASCAL;Naba-zanna;;0101000020E61000009B98AFBA34A9F5BF8694D3C439672840;;;2014-05-21 13:49:47.74048+02;;;;;;;
74;Locations within Greater Ouagadougou;WASCAL;Nakamtinga;;0101000020E61000003636D7AAE253F5BF457E6F21737B2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
75;Locations within Greater Ouagadougou;WASCAL;Namb;;0101000020E6100000DC3933F7C408F7BF54716022A76C2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
76;Locations within Greater Ouagadougou;WASCAL;Napagting-Goughin;;0101000020E6100000FEFE99591624F6BFD396919E6E762840;;;2014-05-21 13:49:47.74048+02;;;;;;;
77;Locations within Greater Ouagadougou;WASCAL;Noungou;;0101000020E61000001DFE0850D100F5BFA3A9CFC5A8682840;;;2014-05-21 13:49:47.74048+02;;;;;;;
78;Locations within Greater Ouagadougou;WASCAL;Peel;;0101000020E6100000837D21CF9293F3BFB50AFEB3E88C2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
