id;value;label;source;remarks;fk;creator;created;last_editor;last_edited;area;perimeter;length;latitude;longitude;geom
3;;Yaguyili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000044AADE95035AEBBF1929DD1362A62240
4;;Daloguyili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000EC0C1E8421DFEBBF7C58096FC7A02240
5;;Nanchimbaya;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000A0E2A7CC8C38ECBF293EBE543C9D2240
6;;Wulanyili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000000EEF25164ADEECBF45F5490D6D9A2240
7;;Banvim-Dakpemyili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000005B8BE537AA93ECBF84C7F0867F982240
8;;Yekura-Fisila;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000009DC10ACFF3DEEDBF43D0BDA43F952240
9;;Kurubanyili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000005BFA064C9C95EEBFB243F5D701902240
10;;Jabangyili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000008FDF36E42D5DEEBF701C6BCBBE952240
11;;Changyili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000507401DF17ADEEBFDA8666EDF59E2240
12;;Adubiliyili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000075BDCCEAE77EEEBF10E08203A9A12240
13;;Mwozie-Kurugu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000009B7B852CFC65EDBF3D039B79D7A52240
14;;Dunying;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000001B9DA910B480ECBFF141B57BFDA72240
15;;Manguli-Kukuo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000B5815EE9D0EBEBBF4D88522995A82240
16;;Manguli;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000003C7ACD764DC9EBBFFFA22E05E2AD2240
17;;Jonshegu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000007BB2C47EE43AEBBF03EE2A70ACB42240
18;;Gunnayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000F9827393C666ECBFC4E8E79492B32240
19;;Chanshegu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000006DEB48A693DEEBBF0CE0EEC2ADB82240
20;;Datoyili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000021BC99C36B50EDBFFB77856317AF2240
21;;Zoozugu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000884A252FBDB1ECBF4F2F3A403BB82240
22;;Cheshe;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000049D54245A749EDBF48EA602E41B52240
23;;Gbinjari;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000FA71B0C927F5EEBF1554BE44AEAE2240
24;;Galinkpegu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000006E6F32ECE687EEBF74BD1A15B3BD2240
25;;Naha;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000A01B48BDADCAEEBFE9EFCB0EA7C02240
26;;Nafaram;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000ED60A1A5F08BEFBF2470BA125EC32240
27;;Nyankpala-Kukuo;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000E1844F160402EFBF1B69848EDEC32240
28;;Shigu;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E61000009FA059F0C4C9EDBFC3EACA491AC92240
29;;Changnayili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000055322921523EEEBFE169867F4FCC2240
30;;Nyarizee;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000209B80CF0C60EDBFC5E700027EC92240
31;;Kpunyevili;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E610000043B7C7300C91ECBF25BD3A90D8C72240
32;;Gbambaya;Survey Department Tile 0901C;;;;;;;;;;;;0101000020E6100000788E116FF236ECBF8D1D36BD43CA2240
